Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
2759	1301311	zooplankton environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													zooplankton environmental sample	1301311	FALSE
2759	1249885	phytoplankton environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													phytoplankton environmental sample	1249885	FALSE
2759	444323	marine zooplankton environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													marine zooplankton environmental sample	444323	FALSE
2759	632957	marine plankton environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													marine plankton environmental sample	632957	FALSE
2759	2044874	marine picoeukaryote environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													marine picoeukaryote environmental sample	2044874	FALSE
2759	1881867	freshwater picoeukaryote environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													freshwater picoeukaryote environmental sample	1881867	FALSE
2759	940671	freshwater phytoplankton environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													freshwater phytoplankton environmental sample	940671	FALSE
2759	1289542	eukaryotic plankton environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													eukaryotic plankton environmental sample	1289542	FALSE
2759	283062	eukaryotic picoplankton environmental sample		SPECIES				no	eukaryotes	Eukaryota	2759													eukaryotic picoplankton environmental sample	283062	FALSE
2759	403658	uncultured symbiotic protist of Reticulitermes speratus		SPECIES				no	eukaryotes	Eukaryota	2759													uncultured symbiotic protist of Reticulitermes speratus	403658	FALSE
2759	403660	uncultured symbiotic protist of Neotermes koshunensis		SPECIES				no	eukaryotes	Eukaryota	2759													uncultured symbiotic protist of Neotermes koshunensis	403660	FALSE
2759	403661	uncultured symbiotic protist of Mastotermes darwiniensis		SPECIES				no	eukaryotes	Eukaryota	2759													uncultured symbiotic protist of Mastotermes darwiniensis	403661	FALSE
2759	403659	uncultured symbiotic protist of Hodotermopsis sjoestedti		SPECIES				no	eukaryotes	Eukaryota	2759													uncultured symbiotic protist of Hodotermopsis sjoestedti	403659	FALSE
2759	403662	uncultured symbiotic protist of Cryptocercus punctulatus		SPECIES				no	eukaryotes	Eukaryota	2759													uncultured symbiotic protist of Cryptocercus punctulatus	403662	FALSE
