Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
12967	12967	Blastocystis	A.G.Alexeieff, 1911	GENUS				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Opalinata	42740	Blastocystidae	2547934	Blastocystis	12967			TRUE
12968	12968	Blastocystis hominis	Brumpt, 1912	SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Opalinata	42740	Blastocystidae	2547934	Blastocystis	12967	Blastocystis hominis	12968	TRUE
27941	27941	Haplogloia		GENUS				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Ectocarpales	2877	Chordariaceae	66220	Haplogloia	27941			TRUE
27942	27942	Haplogloia andersonii	(Farlow) Levring, 1939	SPECIES	Mesogloia andersonii	Farlow, 1889		no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Ectocarpales	2877	Chordariaceae	66220	Haplogloia	27941	Haplogloia andersonii	27942	TRUE
27943	27943	Punctaria		GENUS				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Ectocarpales	2877	Chordariaceae	66220	Punctaria	27943			TRUE
27944	27944	Punctaria expansa	Setchell & N.L.Gardner, 1924	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Ectocarpales	2877	Chordariaceae	66220	Punctaria	27943	Punctaria expansa	27944	TRUE
27945	27945	Sphacelariales		ORDER				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Sphacelariales	27945							TRUE
27946	27946	Sphacelariaceae		FAMILY				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Sphacelariales	27945	Sphacelariaceae	27946					TRUE
27947	27947	Sphacelaria		GENUS				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Sphacelariales	27945	Sphacelariaceae	27946	Sphacelaria	27947			TRUE
27948	27948	Sphacelaria furcigera	KuÌtzing, 1855	SPECIES				no	brown algae	Eukaryota	2759					Phaeophyceae	2870	Sphacelariales	27945	Sphacelariaceae	27946	Sphacelaria	27947	Sphacelaria furcigera	27948	TRUE
