tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
EEY69298.1,-,PTHR12848.orig.30.pir,-,0,1298.8,0.0,0,1298.6,0.0,GCA_000142945.1
EEY63980.1,-,PTHR12848.orig.30.pir,-,3.6e-22,78.3,0.0,4.6e-08,31.6,0.0,GCA_000142945.1
EEY66261.1,-,PTHR12848.orig.30.pir,-,1e-21,76.8,4.2,2.4e-10,39.1,0.1,GCA_000142945.1
EEY69177.1,-,PTHR12848.orig.30.pir,-,3.8e-19,68.3,0.8,3.5e-09,35.3,0.0,GCA_000142945.1
EEY64163.1,-,PTHR12848.orig.30.pir,-,5.7e-19,67.7,2.3,7.1e-19,67.4,2.3,GCA_000142945.1
EEY59382.1,-,PTHR12848.orig.30.pir,-,2.5e-18,65.6,2.4,3.9e-18,64.9,2.4,GCA_000142945.1
EEY68383.1,-,PTHR12848.orig.30.pir,-,5e-18,64.6,0.4,1.1e-13,50.2,1.0,GCA_000142945.1
EEY67601.1,-,PTHR12848.orig.30.pir,-,5.8e-18,64.3,2.2,1.3e-17,63.1,0.0,GCA_000142945.1
EEY57502.1,-,PTHR12848.orig.30.pir,-,9.7e-18,63.6,3.4,2e-10,39.4,0.3,GCA_000142945.1
EEY70376.1,-,PTHR12848.orig.30.pir,-,1.8e-17,62.7,0.8,7.7e-11,40.7,0.0,GCA_000142945.1
EEY67785.1,-,PTHR12848.orig.30.pir,-,4.3e-17,61.5,1.3,3.2e-12,45.3,0.3,GCA_000142945.1
EEY59397.1,-,PTHR12848.orig.30.pir,-,4.7e-17,61.3,33.0,1.9e-16,59.3,33.0,GCA_000142945.1
EEY68294.1,-,PTHR12848.orig.30.pir,-,1.4e-16,59.8,0.2,9.2e-08,30.6,0.1,GCA_000142945.1
EEY66455.1,-,PTHR12848.orig.30.pir,-,2e-16,59.3,0.1,1.1e-10,40.3,0.6,GCA_000142945.1
EEY59077.1,-,PTHR12848.orig.30.pir,-,2.5e-16,58.9,1.2,1.3e-13,49.9,0.9,GCA_000142945.1
EEY59905.1,-,PTHR12848.orig.30.pir,-,3.7e-16,58.4,1.8,5.3e-16,57.8,1.8,GCA_000142945.1
EEY59083.1,-,PTHR12848.orig.30.pir,-,7.9e-16,57.3,4.4,2e-13,49.3,3.5,GCA_000142945.1
EEY53597.1,-,PTHR12848.orig.30.pir,-,9.9e-16,57.0,0.7,1.2e-15,56.6,0.7,GCA_000142945.1
EEY59801.1,-,PTHR12848.orig.30.pir,-,4.4e-15,54.8,0.0,8e-08,30.8,0.0,GCA_000142945.1
EEY59800.1,-,PTHR12848.orig.30.pir,-,6.4e-15,54.3,0.1,2.5e-08,32.4,0.0,GCA_000142945.1
EEY54456.1,-,PTHR12848.orig.30.pir,-,8.8e-15,53.8,0.1,1.9e-06,26.2,0.0,GCA_000142945.1
EEY56477.1,-,PTHR12848.orig.30.pir,-,1.4e-14,53.1,0.3,1.6e-14,53.0,0.3,GCA_000142945.1
EEY66713.1,-,PTHR12848.orig.30.pir,-,4.1e-14,51.6,1.5,1.3e-12,46.7,1.5,GCA_000142945.1
EEY56197.1,-,PTHR12848.orig.30.pir,-,4.3e-14,51.5,6.6,3.4e-07,28.7,0.9,GCA_000142945.1
EEY55414.1,-,PTHR12848.orig.30.pir,-,4.8e-14,51.4,10.9,7.9e-08,30.8,0.5,GCA_000142945.1
EEY53006.1,-,PTHR12848.orig.30.pir,-,6.1e-14,51.0,1.3,6.1e-14,51.0,1.3,GCA_000142945.1
EEY66103.1,-,PTHR12848.orig.30.pir,-,6.2e-14,51.0,4.4,2.3e-11,42.5,3.6,GCA_000142945.1
EEY63667.1,-,PTHR12848.orig.30.pir,-,6.3e-14,51.0,0.3,8.4e-14,50.6,0.3,GCA_000142945.1
EEY57838.1,-,PTHR12848.orig.30.pir,-,7.2e-14,50.8,0.5,4.6e-13,48.1,0.5,GCA_000142945.1
EEY69277.1,-,PTHR12848.orig.30.pir,-,8.7e-14,50.5,0.1,1.2e-13,50.1,0.1,GCA_000142945.1
EEY57144.1,-,PTHR12848.orig.30.pir,-,1.5e-13,49.8,0.0,2.5e-13,49.0,0.0,GCA_000142945.1
EEY55907.1,-,PTHR12848.orig.30.pir,-,2.3e-13,49.1,0.1,3.2e-07,28.8,0.0,GCA_000142945.1
EEY58574.1,-,PTHR12848.orig.30.pir,-,2.9e-13,48.8,0.3,6.7e-07,27.7,0.0,GCA_000142945.1
EEY58167.1,-,PTHR12848.orig.30.pir,-,4.1e-13,48.3,0.0,1.7e-09,36.3,0.0,GCA_000142945.1
EEY70378.1,-,PTHR12848.orig.30.pir,-,4.2e-13,48.3,3.2,4.4e-06,25.0,0.0,GCA_000142945.1
EEY60627.1,-,PTHR12848.orig.30.pir,-,6.8e-13,47.6,0.0,1.5e-07,29.9,0.0,GCA_000142945.1
EEY66458.1,-,PTHR12848.orig.30.pir,-,7.3e-13,47.5,0.1,1.3e-08,33.4,0.0,GCA_000142945.1
EEY70077.1,-,PTHR12848.orig.30.pir,-,9e-13,47.1,0.0,7e-11,40.9,0.0,GCA_000142945.1
EEY60534.1,-,PTHR12848.orig.30.pir,-,1.1e-12,46.9,0.0,1.5e-11,43.1,0.0,GCA_000142945.1
EEY60691.1,-,PTHR12848.orig.30.pir,-,1.1e-12,46.8,0.3,1.5e-12,46.4,0.3,GCA_000142945.1
EEY60868.1,-,PTHR12848.orig.30.pir,-,1.2e-12,46.7,0.8,1e-10,40.4,0.8,GCA_000142945.1
EEY59691.1,-,PTHR12848.orig.30.pir,-,2.1e-12,45.9,0.0,3.1e-09,35.4,0.0,GCA_000142945.1
EEY53304.1,-,PTHR12848.orig.30.pir,-,2.3e-12,45.8,0.2,2.3e-12,45.8,0.2,GCA_000142945.1
EEY58039.1,-,PTHR12848.orig.30.pir,-,3.4e-12,45.2,0.3,9.5e-12,43.8,0.3,GCA_000142945.1
EEY66910.1,-,PTHR12848.orig.30.pir,-,5.5e-12,44.6,1.8,6.3e-12,44.3,1.8,GCA_000142945.1
EEY69451.1,-,PTHR12848.orig.30.pir,-,6.4e-12,44.3,3.5,1.7e-11,42.9,3.5,GCA_000142945.1
EEY61224.1,-,PTHR12848.orig.30.pir,-,6.9e-12,44.2,0.9,1e-09,37.0,0.4,GCA_000142945.1
EEY56649.1,-,PTHR12848.orig.30.pir,-,8e-12,44.0,0.1,1.1e-11,43.6,0.1,GCA_000142945.1
EEY64692.1,-,PTHR12848.orig.30.pir,-,8.1e-12,44.0,0.0,1.1e-11,43.6,0.0,GCA_000142945.1
EEY66428.1,-,PTHR12848.orig.30.pir,-,8.7e-12,43.9,0.0,1.9e-08,32.8,0.2,GCA_000142945.1
EEY62520.1,-,PTHR12848.orig.30.pir,-,1.3e-11,43.3,11.0,4.7e-08,31.5,0.7,GCA_000142945.1
EEY66319.1,-,PTHR12848.orig.30.pir,-,1.4e-11,43.2,0.0,1.7e-10,39.6,0.0,GCA_000142945.1
EEY52940.1,-,PTHR12848.orig.30.pir,-,2.1e-11,42.6,0.2,2.5e-05,22.5,0.0,GCA_000142945.1
EEY55613.1,-,PTHR12848.orig.30.pir,-,3.6e-11,41.8,0.0,3e-08,32.2,0.0,GCA_000142945.1
EEY63918.1,-,PTHR12848.orig.30.pir,-,4.1e-11,41.7,0.6,5e-11,41.4,0.6,GCA_000142945.1
EEY58174.1,-,PTHR12848.orig.30.pir,-,5.2e-11,41.3,0.8,1.2e-05,23.6,0.7,GCA_000142945.1
EEY54879.1,-,PTHR12848.orig.30.pir,-,5.9e-11,41.1,0.2,6.8e-11,40.9,0.2,GCA_000142945.1
EEY55355.1,-,PTHR12848.orig.30.pir,-,6.4e-11,41.0,0.0,8.7e-06,24.0,0.2,GCA_000142945.1
EEY62626.1,-,PTHR12848.orig.30.pir,-,6.4e-11,41.0,0.5,1.6e-10,39.7,0.5,GCA_000142945.1
EEY69864.1,-,PTHR12848.orig.30.pir,-,1.3e-10,40.0,0.2,1.3e-10,40.0,0.2,GCA_000142945.1
EEY66316.1,-,PTHR12848.orig.30.pir,-,1.6e-10,39.7,0.3,6.4e-10,37.7,0.3,GCA_000142945.1
EEY69861.1,-,PTHR12848.orig.30.pir,-,3e-10,38.8,2.2,4.9e-09,34.8,2.2,GCA_000142945.1
EEY64604.1,-,PTHR12848.orig.30.pir,-,3.3e-10,38.7,0.1,4.4e-10,38.2,0.1,GCA_000142945.1
EEY59812.1,-,PTHR12848.orig.30.pir,-,4.6e-10,38.2,0.5,5.2e-10,38.0,0.5,GCA_000142945.1
EEY66389.1,-,PTHR12848.orig.30.pir,-,9.2e-10,37.2,1.8,3.4e-05,22.0,0.1,GCA_000142945.1
EEY69409.1,-,PTHR12848.orig.30.pir,-,1.3e-09,36.7,0.3,1.7e-09,36.3,0.3,GCA_000142945.1
EEY57501.1,-,PTHR12848.orig.30.pir,-,1.4e-09,36.5,0.0,1.3e-08,33.3,0.0,GCA_000142945.1
EEY58575.1,-,PTHR12848.orig.30.pir,-,2.4e-09,35.8,0.0,0.0031,15.6,0.0,GCA_000142945.1
EEY57727.1,-,PTHR12848.orig.30.pir,-,2.9e-09,35.5,0.4,4.8e-05,21.5,0.0,GCA_000142945.1
EEY66788.1,-,PTHR12848.orig.30.pir,-,3e-09,35.5,0.0,6e-08,31.2,0.0,GCA_000142945.1
EEY66318.1,-,PTHR12848.orig.30.pir,-,6.5e-09,34.4,0.0,3.3e-07,28.7,0.0,GCA_000142945.1
EEY64545.1,-,PTHR12848.orig.30.pir,-,6.7e-09,34.3,1.9,1.7e-06,26.4,0.0,GCA_000142945.1
EEY62684.1,-,PTHR12848.orig.30.pir,-,7.8e-09,34.1,0.0,2.1e-08,32.7,0.0,GCA_000142945.1
EEY68904.1,-,PTHR12848.orig.30.pir,-,1.3e-08,33.4,0.0,4.7e-07,28.2,0.0,GCA_000142945.1
EEY63004.1,-,PTHR12848.orig.30.pir,-,1.6e-08,33.1,1.4,5.4e-05,21.4,0.1,GCA_000142945.1
EEY61317.1,-,PTHR12848.orig.30.pir,-,1.6e-08,33.1,0.0,2.3e-08,32.5,0.0,GCA_000142945.1
EEY58040.1,-,PTHR12848.orig.30.pir,-,2.1e-08,32.7,0.1,2.1e-08,32.7,0.1,GCA_000142945.1
