tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
CAG99890.1,-,TCO89,PF10452.14,6.8e-228,756.5,52.8,8e-228,756.2,52.8,GCA_000002515.1
CAG80152.1,-,TCO89,PF10452.14,5e-10,37.7,0.2,5e-10,37.7,0.2,GCA_000002525.1
CAG58144.1,-,TCO89,PF10452.14,4.3e-232,770.3,55.2,5.8e-232,769.9,55.2,GCA_000002545.2
EAL87568.1,-,TCO89,PF10452.14,5.5e-06,24.9,0.8,0.05,11.9,0.0,GCA_000002655.1
CAA22780.1,-,TCO89,PF10452.14,4.8e-116,387.3,32.7,9.8e-58,194.8,9.6,GCA_000002945.3
EEQ88311.1,-,TCO89,PF10452.14,4.1e-08,32.2,4.6,2.6e-05,23.0,0.1,GCA_000003525.2
EEQ40162.1,-,TCO89,PF10452.14,6.7e-11,40.5,35.1,3.4e-08,31.5,1.5,GCA_000003835.1
OAT05806.1,-,TCO89,PF10452.14,2.8e-08,32.8,4.0,2.7e-05,22.9,0.1,GCA_000003855.2
EPY51331.1,-,TCO89,PF10452.14,2.9e-33,114.1,5.1,2.7e-19,68.0,1.7,GCA_000004155.2
EER31703.1,-,TCO89,PF10452.14,8.9e-12,43.4,55.9,1.2e-08,33.1,0.2,GCA_000006335.3
CAG84442.2,-,TCO89,PF10452.14,4.5e-10,37.8,80.9,4.4e-09,34.5,9.5,GCA_000006445.2
CBF86119.1,-,TCO89,PF10452.14,0.028,12.8,0.3,0.028,12.8,0.3,GCA_000011425.1
CAR29222.1,-,TCO89,PF10452.14,3.3e-121,404.3,57.3,6.5e-120,400.0,57.3,GCA_000026365.1
CAX44715.1,-,TCO89,PF10452.14,9.7e-13,46.5,49.0,5.5e-08,30.8,0.3,GCA_000026945.1
CAY67512.1,-,TCO89,PF10452.14,1e-20,72.6,3.8,9.8e-19,66.1,1.1,GCA_000027005.1
AAS53318.2,-,TCO89,PF10452.14,5.6e-94,314.4,26.9,1.3e-73,247.1,17.1,GCA_000091025.4
CAR30240.1,-,TCO89,PF10452.14,2.1e-110,368.7,49.5,2.6e-110,368.4,49.5,GCA_000142805.1
EFX04800.1,-,TCO89,PF10452.14,1e-08,33.7,0.0,1e-08,33.7,0.0,GCA_000143105.2
EJT81209.1,-,TCO89,PF10452.14,6.4e-08,31.9,0.0,6.4e-08,31.9,0.0,GCA_000145635.1
EJT80963.1,-,TCO89,PF10452.14,0.0047,15.9,0.8,0.0072,15.3,0.8,GCA_000145635.1
DAA11254.1,-,TCO89,PF10452.14,9e-118,393.2,63.3,1.9e-117,392.1,63.3,GCA_000146045.2
EAT79460.1,-,TCO89,PF10452.14,3.1e-06,26.5,1.1,0.00021,20.5,0.1,GCA_000146915.2
EFQ35437.1,-,TCO89,PF10452.14,2.4e-05,23.2,1.0,0.0014,17.3,0.1,GCA_000149035.1
EAA64902.1,-,TCO89,PF10452.14,0.026,12.8,0.3,0.026,12.8,0.3,GCA_000149205.2
