Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_003013715.2	ASM301371v2	Candidozyma auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	Complete Genome	2019-09-10		7
GCA_003054445.1	ASM305444v1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	Complete Genome	2018-04-17		5
GCA_030384665.1	ASM3038466v1	Lodderomyces elongisporus		NRRL YB-4239					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-07-02		8
GCA_000026945.1	ASM2694v1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	Complete Genome	2009-02-16		8
GCA_000090985.2	ASM9098v2	Micromonas commoda		RCC299					Annotation submitted by Micromonas genome consortium	Complete Genome	2009-04-10		17
GCA_029203305.1	ASM2920330v1	Yamadazyma tenuis		ATCC 10573					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-14		7
GCA_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
GCA_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815		IFO1815					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	Complete Genome	2022-11-01		16
GCA_036426115.1	ASM3642611v1	Kwoniella botswanensis		CBS 12716					Annotation submitted by Broad Institute	Complete Genome	2024-02-07		3
GCA_001640025.2	ASM164002v2	Sugiyamaella lignohabitans		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	Complete Genome	2016-05-06		4
GCA_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus		CBS 15793					Annotation submitted by National Institute of Biological Sciences, Beijing China	Complete Genome	2023-01-20		3
GCA_029542845.1	ASM2954284v1	Malassezia nana		CBS 9557					Annotation submitted by Duke University	Complete Genome	2023-04-03		8
GCA_029542905.1	ASM2954290v1	Malassezia arunalokei		CBS 13387					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542785.1	ASM2954278v1	Malassezia japonica		CBS 9431					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029542925.1	ASM2954292v1	Malassezia vespertilionis		CBS 15041					Annotation submitted by Duke University	Complete Genome	2023-04-03		9
GCA_029449355.1	ASM2944935v1	Emydomyces testavorans		16-2883					Annotation submitted by University of Illinois Urbana-Champaign	Complete Genome	2023-03-28		5
GCA_042764415.1	Remth1	Remersonia thermophila		ATCC 22073					Annotation submitted by DOE Joint Genome Institute	Complete Genome	2024-10-10	JAZGUE01	7
GCA_000512585.3	ASM51258v3	Kwoniella bestiolae CBS 10118		CBS 10118					Annotation submitted by Broad Institute	Complete Genome	2024-02-14		8
GCA_001720195.2	ASM172019v2	Cryptococcus depauperatus CBS 7841		CBS 7841					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		8
GCA_000512565.3	ASM51256v3	Kwoniella dejecticola CBS 10117		CBS 10117					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
GCA_035658355.1	ASM3565835v1	Kwoniella shivajii					CBS 11374		Annotation submitted by Broad Institute	Complete Genome	2024-01-15		12
GCA_036810415.1	ASM3681041v1	Kwoniella dendrophila CBS 6074		CBS 6074					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
GCA_000512605.3	ASM51260v3	Kwoniella pini CBS 10737		CBS 10737					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		11
GCA_008629635.2	ASM862963v2	Kwoniella shandongensis		CBS 12478					Annotation submitted by Broad Institute	Complete Genome	2024-02-22		14
GCA_001548555.1	ASM154855v1	Eremothecium sinecaudum		ATCC 58844					Annotation submitted by Duke University	Complete Genome	2016-02-04		7
