Organism_Name,Group name,Domain/Realm name,Kingdom name,Phylum name,Class name,Order name,Family name,Genus name,Species taxid,acc,query,tar_tco,full_e_tco,full_score_tco,full_bias_tco,dom_e_tco,dom_score_tco,dom_bias_tco,tar_RAPTOR,full_e_RAPTOR,full_score_RAPTOR,full_bias_RAPTOR,dom_e_RAPTOR,dom_score_RAPTOR,dom_bias_RAPTOR,ProteinPresence
Kluyveromyces lactis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kluyveromyces,28985,GCA_000002515.1,PTHR12848.orig.30.pir,CAG99890.1,6.799999999999999e-228,756.5,52.8,7.999999999999999e-228,756.2,52.8,CAH03002.1,0,1359.7,14.3,0,1359.3,14.3,TCO and RAPTOR
Yarrowia lipolytica CLIB122,NA,NA,NA,NA,NA,NA,NA,NA,284591,GCA_000002525.1,PTHR12848.orig.30.pir,CAG80152.1,5e-10,37.7,0.2,5e-10,37.7,0.2,CAG79230.1,0,1428.4,0.1,0,1428,0.1,TCO and RAPTOR
Nakaseomyces glabratus,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,5478,GCA_000002545.2,PTHR12848.orig.30.pir,CAG58144.1,4.299999999999999e-232,770.3,55.2,5.799999999999999e-232,769.9,55.2,CAG62906.1,0,1349.2,7.5,0,1348.9,7.5,TCO and RAPTOR
Schizosaccharomyces pombe,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Schizosaccharomycetes,Schizosaccharomycetales,Schizosaccharomycetaceae,Schizosaccharomyces,4896,GCA_000002945.3,PTHR12848.orig.30.pir,CAA22780.1,4.8e-116,387.3,32.7,9.799999999999999e-58,194.8,9.6,CAB08769.1,0,1465.1,8.4,0,1464.5,8.4,TCO and RAPTOR
Blastomyces dermatitidis ER-3,NA,NA,NA,NA,NA,NA,NA,NA,559297,GCA_000003525.2,PTHR12848.orig.30.pir,EEQ88311.1,4.1e-8,32.2,4.6,2.6e-5,23,0.1,EEQ85795.2,0,1496.4,0,0,1496.1,0,TCO and RAPTOR
Clavispora lusitaniae ATCC 42720,NA,NA,NA,NA,NA,NA,NA,NA,306902,GCA_000003835.1,PTHR12848.orig.30.pir,EEQ40162.1,6.7e-11,40.5,35.1,3.4e-8,31.5,1.5,EEQ39236.1,0,1390.4,0,0,1389.9,0,TCO and RAPTOR
Blastomyces gilchristii SLH14081,NA,NA,NA,NA,NA,NA,NA,NA,559298,GCA_000003855.2,PTHR12848.orig.30.pir,OAT05806.1,2.8e-8,32.8,4,2.7e-5,22.9,0.1,OAT03734.1,0,1497,0.1,0,1496.7,0.1,TCO and RAPTOR
Schizosaccharomyces cryophilus OY26,NA,NA,NA,NA,NA,NA,NA,NA,653667,GCA_000004155.2,PTHR12848.orig.30.pir,EPY51331.1,2.8999999999999997e-33,114.1,5.1,2.7e-19,68,1.7,EPY50990.1,0,1447.2,10.7,0,1445.8,10.7,TCO and RAPTOR
Candida tropicalis MYA-3404,NA,NA,NA,NA,NA,NA,NA,NA,294747,GCA_000006335.3,PTHR12848.orig.30.pir,EER31703.1,8.9e-12,43.4,55.9,1.2e-8,33.1,0.2,EER31764.1,0,1389.9,0.5,0,1389.4,0.5,TCO and RAPTOR
Debaryomyces hansenii CBS767,NA,NA,NA,NA,NA,NA,NA,NA,284592,GCA_000006445.2,PTHR12848.orig.30.pir,CAG84442.2,4.5e-10,37.8,80.9,4.4e-9,34.5,9.5,CAG87880.2,0,1417.7,9.3,0,1417.3,9.3,TCO and RAPTOR
Zygosaccharomyces rouxii,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,4956,GCA_000026365.1,PTHR12848.orig.30.pir,CAR29222.1,3.3e-121,404.3,57.3,6.499999999999999e-120,400,57.3,CAR27838.1,0,1369.5,8.7,0,1369.1,8.7,TCO and RAPTOR
Candida dubliniensis CD36,NA,NA,NA,NA,NA,NA,NA,NA,573826,GCA_000026945.1,PTHR12848.orig.30.pir,CAX44715.1,9.7e-13,46.5,49,5.5e-8,30.8,0.3,CAX44776.1,0,1415.8,0.5,0,1415.2,0.5,TCO and RAPTOR
